projectKey,status,name,location,state,ProjectCreateDate,deliveryDate,ProductName,collateralItemName,collateralQuantity,collateralUnitPrice,collateralTotalPrice,collateralGstRate,collateralSpecification,packingCharges,packingChargesGstRate,totalCost,grandTotal,instructions,pocId,clientId,branch,leadsConverted,leadsGenerated
,,,,,,,,,,,,,,,,,,,,,,,
1325.0,DELIVERED,Expansion Kit - Ranchi,Ranchi,Jharkhand,2026-04-15,2026-04-17,Recruitment,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,500.0,18.0,8550.0,9909,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit - Ranchi,Ranchi,Jharkhand,2026-04-15,2026-04-17,NA,Certificate,200.0,10.0,2000.0,18.0,A4,500.0,18.0,8550.0,9909,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit - Ranchi,Ranchi,Jharkhand,2026-04-15,2026-04-17,NA,Gold Medal,4.0,150.0,600.0,18.0,"2.5 Inches, Metal",500.0,18.0,8550.0,9909,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit - Ranchi,Ranchi,Jharkhand,2026-04-15,2026-04-17,NA,Silver Medal,4.0,150.0,600.0,18.0,"2.5 Inches, Metal",500.0,18.0,8550.0,9909,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit - Ranchi,Ranchi,Jharkhand,2026-04-15,2026-04-17,NA,Bronze Medal,4.0,150.0,600.0,18.0,"2.5 Inches, Metal",500.0,18.0,8550.0,9909,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit - Ranchi,Ranchi,Jharkhand,2026-04-15,2026-04-17,NA,Drawing Sheet,200.0,10.0,2000.0,18.0,A4,500.0,18.0,8550.0,9909,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit - Ranchi,Ranchi,Jharkhand,2026-04-15,2026-04-17,NA,Crayon,50.0,20.0,1000.0,0.0,Wax Crayon - 10 Shades,500.0,18.0,8550.0,9909,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
2243.0,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,Poster A3,2.0,30.0,60.0,18.0,A3,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,Rollup Standee,2.0,1250.0,2500.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
